ticker,empresa,setor_brapi
TVRI11,Tivio Renda Imobiliaria Fundo de Investimento Imobiliario,Miscellaneous
CXCO11,Fundo de Investimento Imobiliario Caixa Imoveis Corporativos,
BLMG11,Bluemacaw Logistica Fundo de Investimento Imobiliario,
BBGO11,BB Fundo de Investimento de Credito Fiagro Imobiliario,Miscellaneous
GPUS11,Investo GP ETF S&P 500 Fundo De Indice,
AIEC11,Autonomy Edificios Corporativos Fundo de Investimento Imobiliario,
OUJP11,Ourinvest JPP Fundo de Investimento Imobiliario - FII,Miscellaneous
UTLL11,Investo B3 Utilidade Publica Fundo de Indice,Miscellaneous
GBTC11,Buena Vista Hashdex Gold & Bitcoin Fundo De Indice Responsabilidade Limitada,
COPN11,Copernico Fundo De Investimento Em Participacoes Em Infraestrutura,
QDFI11,QR Bloomberg Defi Fundo de Indice Investimento no Exterior,Miscellaneous
FIND11,IT Now IFNC Fundo de Indice,Miscellaneous
AZIN11,AZ Quest Infra Yield II Fundo de Investimento em Participacoes em Infraestrutura,Miscellaneous
HTEK11,IT Now Morningstar XT US Healthcare Fundo de Indice,Miscellaneous
PFIN11,Perfin Apollo Energia Fundo de Investimento em Participacoes em Infraestrutura,
XPIN11,XP Industrial Fundo Investimento Imobiliario,
LLFT11,BTG Pactual Teva Tesouro Selic Fundo De Indice,
SFIX11,BTG Pactual Teva ITBR IPCA 95-5 Fundo de Indice,
PLAG11,FII PLAG,
BRZP11,BRZ Infra Portos Fundo de Investimento em Participacoes em Infraestrutura,
ISUS11,IT Now ISE Fundo de Indice,Miscellaneous
INLG11,Inter Logistico Fundo De Investimento Imobiliario FII,
CHIP11,Investo ETF US Listed Semiconductor 25 Index Fundo de Indice - Investimento no Exterior,Miscellaneous
BTRA11,Fundo de Investimento Imobiliario BTG Pactual Terras Agricolas,Miscellaneous
FIGS11,General Shopping Ativo e Renda Fundo de Investimento Imobiliario Cotas,
PPEI11,Prisma Proton Energia Fundo de Investimento em Participacoes em Infraestrutura A,
NDIV11,NU Renda Ibov Smart Dividendos Fundo de Indice,Miscellaneous
RFOF11,Fundo De Investimento Imobiliario Rb Capital I Fundo De Fundos,
MATB11,IT NOW IMAT Fundo de Indice Cotas,Miscellaneous
HGBL11,Hedge Brasil Logistico Industrial Fundo de Investimento Imobiliario de Responsabilidade Limitada,
DAYM11,Asa Metropolis Fundo de Investimento Imobiliario,Miscellaneous
GOAT11,IT Now S&P IMA-B Fundo De Indice - Responsabilidade Limitada,Miscellaneous
RZLC11,Riza Lecci Fundo de Investimento Imobiliario Responsabilidade Senior,
ISTT11,Itau Isento Setembro 29 FIC de Fundos Incentivados de Inv Financeiro em Infraestrutura Renda Fixa Resp Limitada,
RBHG11,Rio Bravo Credito Imobiliario High Grade Fundo de Investimento Imobiliario,
REVE11,It Now Russell 1000 Green Revenues 50 Fundo de Indice,Miscellaneous
TORD11,Tordesilhas EI Fundo De Investimento Imobiliario,Miscellaneous
SMRE11,Fundo De Investimento Imobiliario Smart Real Estate - FII Responsabilidade Limitada,
HTMX11,Fundo de Investimento Imobiliario Hotel Maxinvest Cotas,Miscellaneous
KNOX11,Knox Debt Fundo de Investimento em Participacoes em Infraestrutura,
FIVN11,Fundo de Investimento Imobiliario Vida Nova - FII Cotas,
BBFO11,BB Fundos de Fundos Fundo de Investimento Imobiliario,
BSLT11,Fundo de Investimentos Imobilairios de Permuta Financeira Lote5 Senior Responsabilidade Limitada,
RCRB11,Fundo de Investimento Imobiliario Rio Bravo de Renda Corporativa,Miscellaneous
HLOG11,Hedge Logistica Fundo de Investimento Imobiliario,Miscellaneous
BBOV11,BB ETF Ibovespa Fun de Indice,Miscellaneous
NBIT11,Nu Nasdaq Brazil Bitcoin Carry Futures Classe De Indice - Responsabilidade Limitada,
PACB11,BTG Pactual Teva Tesouro Ipca Ultra Longo Ce Fundo De Indice - Responsabilidade Limitada,Miscellaneous
JGPX11,Fundo de Investimento nas Cadeias Produtivas Agroindustriais JGP Credito Fiagro Imobiliario,Miscellaneous
SMAC11,IT Now Small Cap Fundo de Indice,Miscellaneous
RINV11,Real Investor Fundo de Investimento Imobiliario,Miscellaneous
FTCA11,FYTO RECEBIVEIS DO AGRONEGOCIO - FIAGRO IMOBILIARIO,
RBHY11,Rio Bravo Credito Imobiliario High Yield Fundo de Investimento Imobiliario,
BEST11,Investo Brazil Besst Quality Fundo de Indice,
AROA11,AROEIRA 333 RENDA LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,Miscellaneous
RBRD11,RB Capital Renda II Fundo de Investimento Imobiliario - FII Cotas,Miscellaneous
ITIT11,Inter Teva Indice de Tijolo Fundo de Investimento Imobiliario,
IAGR11,SFI Investimentos do Agronegocio Fiagro Imobiliario,
RBFF11,Rio Bravo IFIX Fundo de Fundos de Investimento Imobiliario,
CEDO3,Cia. de Fiacao e Tecidos Cedro e Cachoeira,Process Industries
VCRR11,Vectis Renda Residencial Fundo de Investimento Imobiliario,Miscellaneous
BOVS11,Safra Ibovespa Fundo de Indice ETF,Miscellaneous
NUIF11,NU Infra Fundo de Investimento em Cotas Incentivado em Infraestrutura Renda Fixa Credito Privado,
SEQR11,Sequoia III Renda Imobiliaria Fundo de Investimento Imobiliario,
VXXV11,VX XVI Fundo de Investimento Imobiliario,
MCEM11,Merito Cemiterios FII Fundo de Investimento Imobiliario,
BNDX11,Investo Bloomberg Global Bond ETF Fundo de Investimento de Indice - Investimento no Exterior,Miscellaneous
