ticker,close,volume,logo,sector,type
AGRO3,20.38,99200,https://icons.brapi.dev/icons/AGRO3.svg,Finance,stock
ALPK3,3.06,81000,https://icons.brapi.dev/icons/ALPK3.svg,Consumer Services,stock
ROMI3,7.71,77100,https://icons.brapi.dev/icons/ROMI3.svg,Producer Manufacturing,stock
SCAR3,19.9,71800,https://icons.brapi.dev/icons/SCAR3.svg,Finance,stock
SANB4,14.21,65300,https://icons.brapi.dev/icons/SANB4.svg,Finance,stock
TCSA3,1.6,58700,https://icons.brapi.dev/icons/TCSA3.svg,Finance,stock
EALT4,10.86,57400,https://icons.brapi.dev/icons/EALT4.svg,Producer Manufacturing,stock
GOAU3,9.24,46600,https://icons.brapi.dev/icons/GOAU3.svg,Non-Energy Minerals,stock
TECN3,6.54,46400,https://icons.brapi.dev/icons/TECN3.svg,Consumer Durables,stock
AALR3,5.39,45200,https://icons.brapi.dev/icons/AALR3.svg,Health Services,stock
CSUD3,17.4,42500,https://icons.brapi.dev/icons/CSUD3.svg,Commercial Services,stock
SANB3,12.83,41800,https://icons.brapi.dev/icons/SANB3.svg,Finance,stock
BRAP3,14.61,36500,https://icons.brapi.dev/icons/BRAP3.svg,Finance,stock
EUCA4,17.31,33200,https://icons.brapi.dev/icons/EUCA4.svg,Non-Energy Minerals,stock
PDTC3,1.0,32800,https://icons.brapi.dev/icons/PDTC3.svg,Electronic Technology,stock
OIBR4,6.9,30500,https://icons.brapi.dev/icons/OIBR4.svg,Communications,stock
COCE5,30.6,30300,https://icons.brapi.dev/icons/COCE5.svg,Utilities,stock
RNEW3,1.02,28100,https://icons.brapi.dev/icons/RNEW3.svg,Utilities,stock
RNEW4,1.01,28000,https://icons.brapi.dev/icons/RNEW4.svg,Utilities,stock
ENGI3,13.45,25400,https://icons.brapi.dev/icons/ENGI3.svg,Utilities,stock
MNPR3,32.9,23900,https://icons.brapi.dev/icons/MNPR3.svg,Process Industries,stock
RPMG3,2.85,23400,https://icons.brapi.dev/icons/RPMG3.svg,Energy Minerals,stock
DOTZ3,7.27,23300,https://icons.brapi.dev/icons/DOTZ3.svg,Technology Services,stock
DMVF3,4.63,22900,https://icons.brapi.dev/icons/DMVF3.svg,Distribution Services,stock
TASA3,5.3,22600,https://icons.brapi.dev/icons/TASA3.svg,Electronic Technology,stock
ATED3,2.15,22300,https://icons.brapi.dev/icons/ATED3.svg,Technology Services,stock
SHOW3,6.12,22100,https://icons.brapi.dev/icons/SHOW3.svg,Consumer Services,stock
BEES3,8.54,20400,https://icons.brapi.dev/icons/BEES3.svg,Finance,stock
UCAS3,1.34,19500,https://icons.brapi.dev/icons/UCAS3.svg,Consumer Durables,stock
AMOB3,11.05,19500,https://icons.brapi.dev/icons/AMOB3.svg,Retail Trade,stock
LOGN3,24.9,19300,https://icons.brapi.dev/icons/LOGN3.svg,Transportation,stock
TPIS3,3.56,19100,https://icons.brapi.dev/icons/TPIS3.svg,Transportation,stock
GGBR3,14.78,19100,https://icons.brapi.dev/icons/GGBR3.svg,Non-Energy Minerals,stock
INEP3,1.59,17300,https://icons.brapi.dev/icons/INEP3.svg,Industrial Services,stock
CGRA4,25.75,17000,https://icons.brapi.dev/icons/CGRA4.svg,Retail Trade,stock
RCSL3,1.79,17000,https://icons.brapi.dev/icons/RCSL3.svg,Producer Manufacturing,stock
LAND3,10.19,15200,https://icons.brapi.dev/icons/LAND3.svg,Finance,stock
BMEB4,42.5,15000,https://icons.brapi.dev/icons/BMEB4.svg,Finance,stock
LUPA3,1.15,14600,https://icons.brapi.dev/icons/LUPA3.svg,Producer Manufacturing,stock
BRKM3,8.55,14500,https://icons.brapi.dev/icons/BRKM3.svg,Process Industries,stock
VIVR3,0.75,14100,https://icons.brapi.dev/icons/VIVR3.svg,Consumer Durables,stock
WSEC11,6.59,13915,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,fund
CAMB3,9.45,13600,https://icons.brapi.dev/icons/CAMB3.svg,Consumer Non-Durables,stock
JFEN3,1.55,13100,https://icons.brapi.dev/icons/JFEN3.svg,Consumer Durables,stock
IGTI3,2.7,12700,https://icons.brapi.dev/icons/IGTI3.svg,Finance,stock
LVTC3,3.24,12500,https://icons.brapi.dev/icons/LVTC3.svg,Distribution Services,stock
SNCI11,84.5,12365,https://icons.brapi.dev/icons/BRAPI.svg,Finance,fund
AGXY3,5.94,12300,https://icons.brapi.dev/icons/AGXY3.svg,Distribution Services,stock
CEBR6,24.34,12200,https://icons.brapi.dev/icons/CEBR6.svg,Utilities,stock
BEES4,8.6,12000,https://icons.brapi.dev/icons/BEES4.svg,Finance,stock
UNIP3,53.17,11700,https://icons.brapi.dev/icons/UNIP3.svg,Process Industries,stock
ALUP4,9.45,10600,https://icons.brapi.dev/icons/ALUP4.svg,Utilities,stock
WHRL3,4.29,10500,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Durables,stock
CEBR5,22.15,9800,https://icons.brapi.dev/icons/CEBR5.svg,Utilities,stock
NGRD3,26.11,9600,https://icons.brapi.dev/icons/NGRD3.svg,Technology Services,stock
BSLI3,8.7,8400,https://icons.brapi.dev/icons/BSLI3.svg,Finance,stock
TRAD3,7.5,8300,https://icons.brapi.dev/icons/TRAD3.svg,Technology Services,stock
CEBR3,22.13,8100,https://icons.brapi.dev/icons/CEBR3.svg,Utilities,stock
INEP4,1.55,7300,https://icons.brapi.dev/icons/INEP4.svg,Industrial Services,stock
WHRL4,4.53,6500,https://icons.brapi.dev/icons/WHRL4.svg,Consumer Durables,stock
RAPT3,6.34,6200,https://icons.brapi.dev/icons/RAPT3.svg,Producer Manufacturing,stock
REDE3,6.27,5900,https://icons.brapi.dev/icons/BRAPI.svg,Utilities,stock
BIED3,3.2,5800,https://icons.brapi.dev/icons/BRAPI.svg,Consumer Services,stock
BRSR3,12.2,5700,https://icons.brapi.dev/icons/BRSR3.svg,Finance,stock
ALUP3,10.5,5600,https://icons.brapi.dev/icons/ALUP3.svg,Utilities,stock
EQPA3,5.68,5300,https://icons.brapi.dev/icons/EQPA3.svg,Utilities,stock
EPAR3,4.41,5200,https://icons.brapi.dev/icons/EPAR3.svg,Producer Manufacturing,stock
CLSC4,102.7,5200,https://icons.brapi.dev/icons/CLSC4.svg,Utilities,stock
BSLI4,9.99,4900,https://icons.brapi.dev/icons/BSLI4.svg,Finance,stock
BPAC5,10.39,4800,https://icons.brapi.dev/icons/BPAC5.svg,Finance,stock
RSID3,1.98,4700,https://icons.brapi.dev/icons/RSID3.svg,Consumer Durables,stock
MWET4,10.63,4600,https://icons.brapi.dev/icons/BRAPI.svg,Producer Manufacturing,stock
CEEB3,36.91,4300,https://icons.brapi.dev/icons/BRAPI.svg,Utilities,stock
BAZA3,72.25,4300,https://icons.brapi.dev/icons/BAZA3.svg,Finance,stock
MGEL4,4.84,4200,https://icons.brapi.dev/icons/MGEL4.svg,Producer Manufacturing,stock
REAG3,3.9,4100,https://icons.brapi.dev/icons/REAG3.svg,Commercial Services,stock
FHER3,4.1,4100,https://icons.brapi.dev/icons/FHER3.svg,Process Industries,stock
EMAE4,28.99,4100,https://icons.brapi.dev/icons/EMAE4.svg,Utilities,stock
ALPA3,8.5,4000,https://icons.brapi.dev/icons/ALPA3.svg,Consumer Non-Durables,stock
PTNT3,9.27,3700,https://icons.brapi.dev/icons/PTNT3.svg,Process Industries,stock
AVLL3,1.63,3300,https://icons.brapi.dev/icons/BRAPI.svg,Finance,stock
WEST3,4.39,3100,https://icons.brapi.dev/icons/WEST3.svg,Retail Trade,stock
