ticker,ano,fechamento
ELET6,2023,41.07
ELET6,2022,36.32
ELET6,2021,26.63
ELET6,2020,27.59
ELET6,2019,27.26
ELET6,2018,19.26
CAML3,2025,4.26
CAML3,2024,5.66
CAML3,2023,7.9
CAML3,2022,7.46
CAML3,2021,9.87
CAML3,2020,9.36
CAML3,2019,7.24
CAML3,2018,5.52
TTEN3,2025,14.17
TTEN3,2024,13.56
TTEN3,2023,11.74
TTEN3,2022,9.0
TTEN3,2021,9.38
TTEN3,2020,
TTEN3,2019,
TTEN3,2018,
CPFE3,2025,38.86
CPFE3,2024,31.59
CPFE3,2023,38.51
CPFE3,2022,30.4
CPFE3,2021,22.37
CPFE3,2020,23.79
CPFE3,2019,24.56
CPFE3,2018,19.61
DASA3,2025,1.24
DASA3,2024,1.9
DASA3,2023,9.62
DASA3,2022,13.73
DASA3,2021,33.74
DASA3,2020,71.62
DASA3,2019,56.45
DASA3,2018,25.86
SOJA3,2025,10.12
SOJA3,2024,10.25
SOJA3,2023,15.8
SOJA3,2022,9.5
SOJA3,2021,14.34
SOJA3,2020,
SOJA3,2019,
SOJA3,2018,
ODPV3,2025,12.94
ODPV3,2024,10.38
ODPV3,2023,10.11
ODPV3,2022,7.63
ODPV3,2021,9.39
ODPV3,2020,10.45
ODPV3,2019,11.67
ODPV3,2018,9.31
ALPA4,2025,9.02
ALPA4,2024,6.26
ALPA4,2023,9.95
ALPA4,2022,14.83
ALPA4,2021,36.22
ALPA4,2020,40.82
ALPA4,2019,32.22
ALPA4,2018,13.21
HBOR3,2025,2.83
HBOR3,2024,1.31
HBOR3,2023,3.25
HBOR3,2022,1.8
HBOR3,2021,3.92
HBOR3,2020,10.18
HBOR3,2019,18.94
HBOR3,2018,6.29
DXCO3,2025,5.6
DXCO3,2024,5.95
DXCO3,2023,7.93
DXCO3,2022,6.49
DXCO3,2021,12.42
DXCO3,2020,13.09
DXCO3,2019,11.25
DXCO3,2018,7.76
VULC3,2025,19.5
VULC3,2024,14.7
VULC3,2023,15.9
VULC3,2022,9.35
VULC3,2021,6.66
VULC3,2020,5.61
VULC3,2019,6.45
VULC3,2018,4.98
PGMN3,2025,3.56
PGMN3,2024,2.9
PGMN3,2023,3.28
PGMN3,2022,3.39
PGMN3,2021,7.23
PGMN3,2020,6.97
PGMN3,2019,
PGMN3,2018,
EZTC3,2025,13.38
EZTC3,2024,10.43
EZTC3,2023,16.76
EZTC3,2022,11.9
EZTC3,2021,17.35
EZTC3,2020,35.92
EZTC3,2019,43.07
EZTC3,2018,17.02
EGIE3,2025,39.22
EGIE3,2024,33.97
EGIE3,2023,40.79
EGIE3,2022,31.83
EGIE3,2021,30.0
EGIE3,2020,32.76
EGIE3,2019,37.02
EGIE3,2018,23.23
AMER3,2025,4.93
AMER3,2024,6.2
AMER3,2023,91.0
AMER3,2022,965.0
AMER3,2021,3078.87
AMER3,2020,7371.54
AMER3,2019,6107.83
AMER3,2018,4035.6
RCSL4,2025,1.12
RCSL4,2024,1.06
RCSL4,2023,3.52
RCSL4,2022,4.8
RCSL4,2021,18.85
RCSL4,2020,23.5
RCSL4,2019,23.37
RCSL4,2018,17.66
KEPL3,2025,7.18
KEPL3,2024,8.99
KEPL3,2023,9.98
KEPL3,2022,8.42
KEPL3,2021,4.98
KEPL3,2020,3.81
KEPL3,2019,2.9
KEPL3,2018,1.45
GUAR3,2025,8.06
GUAR3,2024,6.1
GUAR3,2023,6.34
GUAR3,2022,6.32
GUAR3,2021,9.39
GUAR3,2020,13.62
GUAR3,2019,21.13
GUAR3,2018,17.35
PLPL3,2025,12.77
PLPL3,2024,8.28
PLPL3,2023,10.1
PLPL3,2022,3.35
PLPL3,2021,2.59
PLPL3,2020,5.88
PLPL3,2019,
PLPL3,2018,
QUAL3,2025,1.72
QUAL3,2024,1.52
QUAL3,2023,3.39
QUAL3,2022,5.75
QUAL3,2021,16.24
QUAL3,2020,31.06
QUAL3,2019,32.76
QUAL3,2018,10.65
ENJU3,2025,1.0
ENJU3,2024,1.05
ENJU3,2023,1.69
ENJU3,2022,0.97
ENJU3,2021,2.85
ENJU3,2020,12.75
ENJU3,2019,
ENJU3,2018,
MTRE3,2025,3.34
MTRE3,2024,2.63
MTRE3,2023,5.15
MTRE3,2022,2.64
MTRE3,2021,5.68
MTRE3,2020,10.91
MTRE3,2019,
