ano,ticket,dividendo
2024,DIRR3,2.06
2024,EGIE3,2.668449
2024,EKTR4,10.892219
2024,ELET3,1.2667739999999998
2024,ELET6,3.646128
2024,EMAE4,1.632526
2024,ENGI11,2.0
2024,ENGI3,0.392357
2024,ENGI4,0.4
2024,ENMT3,2.749886
2024,ENMT4,2.749886
2024,EQPA3,0.76
2024,EQTL3,0.447184
2024,EVEN3,0.60116
2024,EZTC3,1.080474
2024,FIQE3,0.212434
2024,GEPA3,5.993650000000001
2024,GEPA4,5.993650000000001
2024,IGTI11,0.6730700000000001
2024,IGTI3,0.096153
2024,IRIM11,9.67
2024,ITSA3,0.633833
2024,ITSA4,0.633996
2024,ITUB3,2.193872
2024,ITUB4,2.193872
2024,JHSF3,0.37095
2024,LAND3,0.086931
2024,LAVV3,0.579528
2024,LOGG3,2.415296
2024,MDNE3,0.65
2024,MELK3,0.40012499999999995
2024,MILS3,0.394531
2024,MOAR3,35.384229
2024,MOVI3,0.15371
2024,MTRE3,0.299468
2024,MULT3,0.623834
2024,NEOE3,1.090301
2024,PINE3,0.603859
2024,PINE4,0.6053580000000001
2024,PLPL3,0.504398
2024,PSSA3,0.709179
2024,RBIF11,11.1
2024,REDE3,0.583645
2024,RENT3,1.5849410000000002
2024,RENV11,0.23500000000000001
2024,SANB11,1.610231
2024,SANB3,0.766777
2024,SANB4,0.843454
2024,SAPR11,1.3652549999999999
2024,SAPR3,0.25282499999999997
2024,SAPR4,0.278108
2024,SBSP3,1.4404
2024,SCAR3,1.742338
2024,SNCI11,11.55
2024,SOND5,5.043426
2024,SOND6,5.043426
2024,SYNE3,2.882516
2024,TAEE11,3.5324560000000003
2024,TAEE3,1.1774850000000001
2024,TAEE4,1.1774850000000001
2024,TEND3,0.170623
2024,TIMS3,87.191787
2024,VAMO3,0.268262
2024,VIVT3,1.401505
2024,WIZC3,0.246244
2025,ABCB4,1.086
2025,ALOS3,0.48690500000000003
2025,ALUP11,0.44999999999999996
2025,ALUP3,0.15000000000000002
2025,ALUP4,0.15000000000000002
2025,ARML3,0.068164
2025,AURE3,0.057033
2025,B3SA3,0.12686199999999997
2025,BAZA3,8.012259
2025,BBAS3,0.44197
2025,BBDC3,0.88251
2025,BBDC4,0.970761
2025,BBSE3,2.320161
2025,BEES3,0.30940100000000004
2025,BEES4,0.30940100000000004
2025,BGIP4,2.9858029999999998
2025,BMEB3,0.022326
2025,BMEB4,0.024559
2025,BMGB4,0.1
2025,BMIN3,0.353744
2025,BPAC11,0.148376
2025,BPAC3,0.049459
2025,BPAC5,0.049459
2025,BRAP3,0.836106
2025,BRAP4,0.919716
2025,BRBI11,0.3
2025,BRSR3,0.527175
2025,BRSR6,0.527175
2025,BRST3,0.18977313
2025,BSLI3,0.117317
2025,BSLI4,0.7010974
2025,CEBR3,1.149649
2025,CEBR5,1.149649
2025,CEBR6,1.264614
2025,CEEB3,1.1805219999999998
2025,CGAS5,0.76574
2025,CLSC4,5.276814
2025,CMIG3,1.056537
2025,CMIG4,1.056537
2025,COCE5,1.351562
2025,CSMG3,0.944918
2025,CURY3,1.1360999999999999
2025,CXSE3,0.941872
2025,CYRE3,1.069137
2025,DESK3,0.036798
2025,DIRR3,1.936667
2025,EGIE3,0.876481
2025,EKTR4,1.248822
2025,ELET3,0.895233
2025,ELET6,0.111042
2025,ENGI11,1.9
2025,ENGI3,0.38
2025,ENGI4,0.38
2025,ENMT3,2.772357
2025,ENMT4,2.772357
2025,EQPA3,0.6587
2025,EQTL3,0.789294
2025,EZTC3,0.24035499999999999
2025,FIQE3,0.099136
2025,GEPA3,4.048288
2025,GEPA4,4.048288
2025,IGTI11,0.6751659999999999
2025,IGTI3,0.096452
2025,IRIM11,6.01
2025,ISAE3,2.006709
2025,ISAE4,2.006709
2025,ITSA3,0.731179
2025,ITSA4,0.731179
2025,ITUB3,1.9108209999999999
2025,ITUB4,1.9108209999999999
2025,JHSF3,0.21762199999999998
2025,LAND3,0.072401
2025,LAVV3,0.514956
2025,LOGG3,0.235626
2025,MDNE3,0.590891
2025,MELK3,0.978435
2025,MILS3,0.289378
2025,MOAR3,32.241685000000004
2025,MOVI3,0.023924
2025,MTRE3,0.302528
2025,MULT3,0.88005
2025,NEOE3,0.567591
2025,PINE3,0.28654999999999997
2025,PINE4,0.28654999999999997
2025,PLPL3,1.006013
2025,PSSA3,1.510064
2025,RBIF11,7.43
2025,REDE3,0.245
2025,RENT3,0.9625790000000001
2025,RENV11,0.061
2025,SANB11,1.340317
2025,SANB3,0.638246
2025,SANB4,0.702071
2025,SAPR11,2.2083649999999997
2025,SAPR3,0.408957
2025,SAPR4,0.449852
2025,SBSP3,3.730472
2025,SNCI11,7.0
2025,SOND5,6.271946
2025,SOND6,6.271946
2025,SYNE3,0.458582
2025,TAEE11,1.4217279999999999
2025,TAEE3,0.473909
2025,TAEE4,0.473909
2025,TEND3,0.407903
2025,TIMS3,84.84991500000001
2025,VIVT3,1.0242
2025,WIZC3,0.250319
